timestamp,Canary DNS Errors,Checkout Timeouts (Stable),Other
2026-05-20 09:55:00+00:00,0,26,0
2026-05-20 10:00:00+00:00,0,28,0
2026-05-20 10:05:00+00:00,0,22,0
2026-05-20 10:10:00+00:00,0,27,0
2026-05-20 10:15:00+00:00,0,23,0
2026-05-20 10:20:00+00:00,0,22,0
2026-05-20 10:25:00+00:00,0,28,0
2026-05-20 10:30:00+00:00,0,28,0
2026-05-20 10:35:00+00:00,0,27,0
2026-05-20 10:40:00+00:00,0,21,0
2026-05-20 10:45:00+00:00,0,20,0
2026-05-20 10:50:00+00:00,0,31,0
2026-05-20 10:55:00+00:00,0,29,0
2026-05-20 11:00:00+00:00,0,22,0
2026-05-20 11:05:00+00:00,0,22,0
2026-05-20 11:10:00+00:00,0,26,0
2026-05-20 11:15:00+00:00,0,25,0
2026-05-20 11:20:00+00:00,0,29,0
2026-05-20 11:25:00+00:00,0,20,0
2026-05-20 11:30:00+00:00,0,31,0
2026-05-20 11:35:00+00:00,0,29,0
2026-05-20 11:40:00+00:00,0,29,0
2026-05-20 11:45:00+00:00,0,27,0
2026-05-20 11:50:00+00:00,30,31,0
2026-05-20 11:55:00+00:00,129,31,0
2026-05-20 12:00:00+00:00,117,32,0
2026-05-20 12:05:00+00:00,118,28,0
2026-05-20 12:10:00+00:00,127,31,0
2026-05-20 12:15:00+00:00,105,34,0
2026-05-20 12:20:00+00:00,131,26,0
2026-05-20 12:25:00+00:00,136,27,0
2026-05-20 12:30:00+00:00,113,29,0
2026-05-20 12:35:00+00:00,135,27,0
2026-05-20 12:40:00+00:00,127,27,0
2026-05-20 12:45:00+00:00,121,22,0
2026-05-20 12:50:00+00:00,122,16,0
2026-05-20 12:55:00+00:00,107,33,0
2026-05-20 13:00:00+00:00,130,34,0
2026-05-20 13:05:00+00:00,142,30,0
2026-05-20 13:10:00+00:00,112,33,0
2026-05-20 13:15:00+00:00,123,22,0
2026-05-20 13:20:00+00:00,124,30,0
2026-05-20 13:25:00+00:00,111,33,0
2026-05-20 13:30:00+00:00,122,29,0
2026-05-20 13:35:00+00:00,16,4,2
2026-05-20 13:40:00+00:00,0,0,4
2026-05-20 13:45:00+00:00,0,0,14
2026-05-20 13:50:00+00:00,0,0,10
2026-05-20 13:55:00+00:00,0,0,29
